year,prefecture,population,gdp2015,dis_expen,maintain_expen,restore_expen
2017,Toyama,1056000,4781183,1280954,7941806,1280954
2017,Ishikawa,1148000,4817554,2806311,6419351,2806311
2017,Fukui,780000,3491347,1576069,3460649,1576069
2017,Yamanashi,826000,3480564,1051077,3700026,1051077
2017,Nagano,2082000,8565409,2837143,11376543,2837143
2017,Gifu,2012000,7805198,2118698,9361160,2118698
2017,Shizuoka,3681000,17888717,1134943,8145974,1134943
2017,Aichi,7528000,41774132,341229,20399916,341207
2017,Mie,1801000,8614259,7344139,2025758,7344139
2017,Shiga,1414000,6871310,1168471,3149078,1168471
2017,Kyoto,2604000,10802285,2778571,3668851,2778571
2017,Osaka,8841000,41378335,1381265,24669992,1381265
2017,Hyogo,5515000,22122841,3077723,10631430,3077723
2017,Nara,1349000,3791891,1212460,4060255,1212460
2017,Wakayama,948000,3660240,3479759,3721885,3478684
2017,Tottori,566000,1970977,2364446,5493166,2364446
2017,Shimane,687000,2602806,2031219,10696327,2031219
2017,Okayama,1911000,7935163,859526,9890221,859526
2017,Hiroshima,2833000,12529010,3902503,11147650,3902503
2017,Yamaguchi,1382000,6438915,1120918,4499509,1120918
2017,Tokushima,744000,3226366,2209634,4964402,2209634
2017,Kagawa,968000,3935929,786162,7400536,786162
2017,Ehime,1368000,5188240,3122334,3899366,3122334
2017,Kochi,714000,2477066,3963188,6516480,3963188
2017,Fukuoka,5123000,19936654,13909277,5785167,13909277
2017,Saga,825000,3022043,924289,1840326,924289
2017,Nagasaki,1355000,4649511,1640101,5474004,1640101
2017,Kumamoto,1767000,6253416,102938167,5667702,102938167
2017,Oita,1152000,4527580,7473400,3370991,7473400
2017,Miyazaki,1091000,3800354,7442368,5921952,7442368
2017,Kagoshima,1626000,5921351,10242504,4452801,10242504
2017,Okinawa,1448000,4397770,845266,3481609,845266
2016,Hokkaido,5355000,20055962,35957309,26581001,35951324
2016,Aomori,1295000,4605331,1720968,15294364,1720968
2016,Iwate,1268000,4733309,94431445,16997620,94431445
2016,Miyagi,2332000,9918826,180200726,5595198,180200726
2016,Akita,1011000,3485568,1997905,2659746,1997905
2016,Yamagata,1114000,4150628,2814708,8590701,2814708
2016,Fukushima,1903000,7951019,82353603,20709168,82353603
2016,Ibaraki,2910000,13389674,5560946,7789246,5540286
2016,Tochigi,1969000,9255139,13592949,6755854,13592935
2016,Gunma,1969000,9028453,861223,2806696,861223
2016,Saitama,7288000,22846472,637606,13586421,637606
2016,Chiba,6242000,20683649,837689,1958368,837689
2016,Tokyo,13646000,111204495,4290577,103046607,4290572
2016,Kanagawa,9152000,33862721,405233,9226856,405233
2016,Niigata,2286000,9096422,2634453,21210056,2634453
2016,Toyama,1061000,4639382,642074,6417278,642074
2016,Ishikawa,1151000,4763895,2270568,5022739,2270568
2016,Fukui,783000,3335917,768328,3518754,768328
2016,Yamanashi,831000,3356182,1027777,2895110,1027777
2016,Nagano,2091000,8331606,3490038,11449833,3490038
2016,Gifu,2024000,7620261,2345706,9217901,2345706
2016,Shizuoka,3690000,17640801,1752231,8303171,1752231
2016,Aichi,7509000,40829273,188885,20530320,188885
2016,Mie,1809000,8312421,3979535,2906793,3979535
2016,Shiga,1414000,6605422,750315,3097265,750237
2016,Kyoto,2608000,10600951,1795897,3572218,1795897
2016,Osaka,8841000,40093607,133812,22981539,133812
2016,Hyogo,5526000,21815299,3839630,10655723,3829493
