prefecture,month,mean_ntl
Miyazaki,2018-09-01,0.5559858583128924
Miyazaki,2018-10-01,0.6523291901412231
Miyazaki,2018-11-01,0.6334547406233951
Miyazaki,2018-12-01,0.5651036580859667
Miyazaki,2019-01-01,0.5878018676295753
Miyazaki,2019-02-01,0.5507254832336342
Miyazaki,2019-03-01,0.5952376416405651
Miyazaki,2019-04-01,0.5791122459150015
Miyazaki,2019-05-01,0.6713877516700575
Miyazaki,2019-06-01,0.7120483957360868
Miyazaki,2019-07-01,0.5298907520137499
Miyazaki,2019-08-01,0.5205438345644389
Miyazaki,2019-09-01,0.5154390113173669
Miyazaki,2019-10-01,0.6326085327266989
Miyazaki,2019-11-01,0.6841407404880375
Miyazaki,2019-12-01,0.5920766366784347
Miyazaki,2020-01-01,0.4599383324704705
Miyazaki,2020-02-01,0.6678828164133392
Miyazaki,2020-03-01,0.610200066304782
Miyazaki,2020-04-01,0.6030961995724905
Miyazaki,2020-05-01,0.7115643377518244
Miyazaki,2020-06-01,0.5812540617462643
Miyazaki,2020-07-01,0.6441298646001093
Miyazaki,2020-08-01,0.6495696499548179
Miyazaki,2020-09-01,0.5762254680573302
Miyazaki,2020-10-01,0.6814197272962723
Miyazaki,2020-11-01,0.6190268339909023
Miyazaki,2020-12-01,0.6521936422212811
Miyazaki,2021-01-01,0.6862350446935989
Miyazaki,2021-02-01,0.6535962308544092
Miyazaki,2021-03-01,0.5792288332803328
Miyazaki,2021-04-01,0.706140880030999
Miyazaki,2021-05-01,0.7388279103865331
Miyazaki,2021-06-01,0.6933381090572865
Miyazaki,2021-07-01,0.7479014000582097
Miyazaki,2021-08-01,0.9365402714901316
Miyazaki,2021-09-01,0.580878636601462
Miyazaki,2021-10-01,0.6602295225923643
Miyazaki,2021-11-01,0.6311943830190085
Miyazaki,2021-12-01,0.7247831549011282
Miyazaki,2022-01-01,0.6507246132025367
Miyazaki,2022-02-01,0.7698699790298555
Miyazaki,2022-03-01,0.6508271162654253
Miyazaki,2022-04-01,0.6499800360548873
Miyazaki,2022-05-01,0.7370647458810407
Miyazaki,2022-06-01,0.6906930412929284
Miyazaki,2022-07-01,0.43828730042641534
Miyazaki,2022-08-01,0.5273586502796853
Miyazaki,2022-09-01,0.6734694092098507
Miyazaki,2022-10-01,0.6779114162445364
Miyazaki,2022-11-01,0.632872041855705
Miyazaki,2022-12-01,0.7245073922694143
Miyazaki,2023-01-01,0.7735193433430038
Miyazaki,2023-02-01,0.7269762376209681
Miyazaki,2023-03-01,0.6544526755504063
Miyazaki,2023-04-01,0.653611416526831
Miyazaki,2023-05-01,0.7215419886874167
Miyazaki,2023-06-01,0.7068009981525346
Miyazaki,2023-07-01,0.6866619832398918
Miyazaki,2023-08-01,0.7057289131062685
Miyazaki,2023-09-01,0.7249651912888131
Miyazaki,2023-10-01,0.8411114902593473
Miyazaki,2023-11-01,0.7919616266503211
Miyazaki,2023-12-01,0.7106667287702915
Miyazaki,2024-01-01,0.7476898519949455
Miyazaki,2024-02-01,0.6982181131046186
Miyazaki,2024-03-01,0.66968452252189
Miyazaki,2024-04-01,0.647356255491812
Miyazaki,2024-05-01,0.6922494901436752
Miyazaki,2024-06-01,0.7327381615340454
Miyazaki,2024-07-01,0.7459249463082539
Miyazaki,2024-08-01,0.7287235828388172
Miyazaki,2024-09-01,0.7140757028113883
Miyazaki,2024-10-01,0.7980793831807784
Miyazaki,2024-11-01,0.7164922892798864
Miyazaki,2024-12-01,0.7704565448393206
Miyazaki,2025-01-01,0.6252618425039637
Miyazaki,2025-02-01,0.6971844284627433
Miyazaki,2025-03-01,0.7239561905849418
Miyazaki,2025-04-01,0.7494598924693016
Miyazaki,2025-05-01,0.7402134132388105
Miyazaki,2025-06-01,0.7226041693483359
Miyazaki,2025-07-01,0.6401170195623422
Miyazaki,2025-08-01,0.6872376548522837
Miyazaki,2025-09-01,0.7088374353666758
Miyazaki,2025-10-01,0.7430409083437124
Miyazaki,2025-11-01,0.606030343690879
Miyazaki,2025-12-01,0.6645957972261013
Miyazaki,2026-01-01,0.7049457789810186
Miyazaki,2026-02-01,0.6728855232747307
Miyazaki,2026-03-01,0.6205349605260935
Nagano,2014-01-01,0.8554576787879038
Nagano,2014-02-01,1.015706292659747
Nagano,2014-03-01,0.756732322600725
Nagano,2014-04-01,0.5624145295549516
Nagano,2014-05-01,0.6683201383489399
Nagano,2014-06-01,0.5766742009420078
Nagano,2014-07-01,0.6664979225594777
Nagano,2014-08-01,0.6595792186032868
Nagano,2014-09-01,0.5422021560920764
Nagano,2014-10-01,0.5542370984130544
Nagano,2014-11-01,0.3632945651482997
Nagano,2014-12-01,1.1509937618639865
Nagano,2015-01-01,1.148579457995764
Nagano,2015-02-01,0.9927278670303188
Nagano,2015-03-01,0.6635923963713007
Nagano,2015-04-01,0.5265617541688874
Nagano,2015-05-01,0.6265978766911969
Nagano,2015-06-01,0.5843549883983401
Nagano,2015-07-01,0.6571128021902607
Nagano,2015-08-01,0.4977451696371837
Nagano,2015-09-01,0.4776772018560256
Nagano,2015-10-01,0.5644079760705594
Nagano,2015-11-01,0.5373504357892391
Nagano,2015-12-01,0.6750280242996245
Nagano,2016-01-01,0.7691368296647748
Nagano,2016-02-01,0.8680149169444085
Nagano,2016-03-01,0.6566279491035792
Nagano,2016-04-01,0.5343944808593198
Nagano,2016-05-01,0.5646413810812844
Nagano,2016-06-01,0.5677598532599437
Nagano,2016-07-01,0.5480053569981742
Nagano,2016-08-01,0.5586281122051999
Nagano,2016-09-01,0.49590797364163675
Nagano,2016-10-01,0.6125691319619089
Nagano,2016-11-01,0.5509350664773399
Nagano,2016-12-01,0.7364033619412532
Nagano,2017-01-01,1.0360734515615828
Nagano,2017-02-01,0.9037937983483196
Nagano,2017-03-01,0.8162482058821112
Nagano,2017-04-01,0.6631825227182149
Nagano,2017-05-01,0.913420517434866
Nagano,2017-06-01,0.8328821559167506
Nagano,2017-07-01,0.7860190763545379
Nagano,2017-08-01,0.7644694690513252
Nagano,2017-09-01,0.7523415005077583
Nagano,2017-10-01,0.8248464391303175
Nagano,2017-11-01,0.7830563354943674
Nagano,2017-12-01,0.8839454487550037
Nagano,2018-01-01,1.0541854091716782
Nagano,2018-02-01,1.0428283011686708
Nagano,2018-03-01,0.8293230464835935
Nagano,2018-04-01,0.6778998937446161
Nagano,2018-05-01,0.8419523522115904
Nagano,2018-06-01,0.8094120814720674
Nagano,2018-07-01,0.7665366219565393
Nagano,2018-08-01,0.7482366923690059
Nagano,2018-09-01,0.5978624021335092
Nagano,2018-10-01,0.7645155829083329
Nagano,2018-11-01,0.6703090925518508
Nagano,2018-12-01,0.7893817699696742
Nagano,2019-01-01,0.9435058774654538
Nagano,2019-02-01,0.9049015780240942
Nagano,2019-03-01,0.7759931244903348
Nagano,2019-04-01,0.6915631180060868
Nagano,2019-05-01,0.7542292369117622
Nagano,2019-06-01,0.7653881536647544
Nagano,2019-07-01,0.6182929869277555
Nagano,2019-08-01,0.682583675818402
Nagano,2019-09-01,0.7001754569357623
Nagano,2019-10-01,0.8020431073632484
Nagano,2019-11-01,0.808769200929817
Nagano,2019-12-01,0.7976320321786055
Nagano,2020-01-01,0.6766408354172949
Nagano,2020-02-01,0.8904187988568683
Nagano,2020-03-01,0.7874030826200817
Nagano,2020-04-01,0.7849935796374793
Nagano,2020-05-01,0.8323839714780241
Nagano,2020-06-01,0.8434193641468861
Nagano,2020-07-01,0.5795212884164115
Nagano,2020-08-01,0.7966036383202295
Nagano,2020-09-01,0.6327318008536252
Nagano,2020-10-01,0.7110897961393571
Nagano,2020-11-01,0.7412721737021485
Nagano,2020-12-01,0.8957396831987072
Nagano,2021-01-01,1.060914381410618
Nagano,2021-02-01,0.9075108410412812
Nagano,2021-03-01,0.8067373924689474
Nagano,2021-04-01,0.7853656220043405
Nagano,2021-05-01,0.7716864100388245
Nagano,2021-06-01,1.0222607522770593
Nagano,2021-07-01,0.7828365673898949
Nagano,2021-08-01,0.9511414516821356
Nagano,2021-09-01,0.6219297167281751
Nagano,2021-10-01,0.7926239305710304
Nagano,2021-11-01,0.7083867630069424
Nagano,2021-12-01,0.98081884760716
Nagano,2022-01-01,1.167637831213282
Nagano,2022-02-01,1.1626268776991735
Nagano,2022-03-01,0.918046274035721
Nagano,2022-04-01,0.8166888559175215
Nagano,2022-05-01,0.9060781591770388
Nagano,2022-06-01,0.9670695645329276
Nagano,2022-07-01,0.5990354600804743
Nagano,2022-08-01,0.6084138896524829
Nagano,2022-09-01,0.7397245536293301
Nagano,2022-10-01,0.7745364361872618
Nagano,2022-11-01,0.6641379363618591
Nagano,2022-12-01,1.1606481377130924
Nagano,2023-01-01,1.36342411575457
Nagano,2023-02-01,1.0554291139913754
Nagano,2023-03-01,0.8667221763472682
Nagano,2023-04-01,0.7764286843195937
Nagano,2023-05-01,1.0077738489001729
Nagano,2023-06-01,1.095708777993336
Nagano,2023-07-01,0.8518536729435604
Nagano,2023-08-01,0.840479482438677
Nagano,2023-09-01,0.8065546836908759
Nagano,2023-10-01,0.8944374155871455
Nagano,2023-11-01,0.8596640055208231
Nagano,2023-12-01,0.914183429021339
Nagano,2024-01-01,1.172171022435102
Nagano,2024-02-01,1.1822482512683048
Nagano,2024-03-01,0.945530271963432
Nagano,2024-04-01,0.8738638923121705
Nagano,2024-05-01,0.8643042714878408
Nagano,2024-06-01,1.0651132403964223
Nagano,2024-07-01,0.9223806464765626
Nagano,2024-08-01,0.8206161388607325
Nagano,2024-09-01,0.80240341240677715
Nagano,2024-10-01,0.8694273427934951
Nagano,2024-11-01,0.941250178826137
Nagano,2024-12-01,1.059121871739214
Nagano,2025-01-01,0.9051230161936832
Nagano,2025-02-01,1.078462589315386
Nagano,2025-03-01,0.8493031646184976
Nagano,2025-04-01,0.9076550820104198
Nagano,2025-05-01,0.8239189829029889
Nagano,2025-06-01,0.9048318221612048
Nagano,2025-07-01,0.8452120226930642
Nagano,2025-08-01,0.7910245451693004
Nagano,2025-09-01,0.8742502497986133
Nagano,2025-10-01,0.8475062182320513
Nagano,2025-11-01,0.7911350961401712
Nagano,2025-12-01,0.867532474288929
Nagano,2026-01-01,1.1042321429535389
Nagano,2026-02-01,0.9654810210846414
Nagano,2026-03-01,0.898866884010405
Nagasaki,2014-01-01,1.40114577975956
Nagasaki,2014-02-01,0.990608242191522
Nagasaki,2014-03-01,1.0018047286507483
Nagasaki,2014-04-01,0.8467654543977945
Nagasaki,2014-05-01,1.1147111797117737
