"eq_id","prefecture","mean_pga","max_pga"
"us20002e96","Hokkaido",NA,NA
"us20002e96","Hyogo",NA,NA
"us20002e96","Ibaraki",NA,NA
"us20002e96","Ishikawa",NA,NA
"us20002e96","Iwate",NA,NA
"us20002e96","Kagawa",NA,NA
"us20002e96","Kagoshima",NA,NA
"us20002e96","Kanagawa",NA,NA
"us20002e96","Kochi",NA,NA
"us20002e96","Kumamoto",NA,NA
"us20002e96","Kyoto",NA,NA
"us20002e96","Mie",NA,NA
"us20002e96","Miyagi",NA,NA
"us20002e96","Miyazaki",NA,NA
"us20002e96","Nagano",NA,NA
"us20002e96","Nagasaki",NA,NA
"us20002e96","Nara",NA,NA
"us20002e96","Niigata",NA,NA
"us20002e96","Oita",NA,NA
"us20002e96","Okayama",NA,NA
"us20002e96","Okinawa",NA,NA
"us20002e96","Osaka",NA,NA
"us20002e96","Saga",NA,NA
"us20002e96","Saitama",NA,NA
"us20002e96","Shiga",NA,NA
"us20002e96","Shimane",NA,NA
"us20002e96","Shizuoka",NA,NA
"us20002e96","Tochigi",NA,NA
"us20002e96","Tokushima",NA,NA
"us20002e96","Tokyo",0.501789152622223,0.5130535364151
"us20002e96","Tottori",NA,NA
"us20002e96","Toyama",NA,NA
"us20002e96","Wakayama",NA,NA
"us20002e96","Yamagata",NA,NA
"us20002e96","Yamaguchi",NA,NA
"us20002e96","Yamanashi",NA,NA
"us20002et4","Aichi",NA,NA
"us20002et4","Akita",1.39372777938843,3.9125294273609
"us20002et4","Aomori",1.88460052013397,4.45375963332547
"us20002et4","Chiba",NA,NA
"us20002et4","Ehime",NA,NA
"us20002et4","Fukui",NA,NA
"us20002et4","Fukuoka",NA,NA
"us20002et4","Fukushima",1.5864896774292,4.07532134445501
"us20002et4","Gifu",NA,NA
"us20002et4","Gunma",NA,NA
"us20002et4","Hiroshima",NA,NA
"us20002et4","Hokkaido",NA,NA
"us20002et4","Hyogo",NA,NA
"us20002et4","Ibaraki",NA,NA
"us20002et4","Ishikawa",NA,NA
"us20002et4","Iwate",6.82806634902954,28.1232272929832
"us20002et4","Kagawa",NA,NA
"us20002et4","Kagoshima",NA,NA
"us20002et4","Kanagawa",NA,NA
"us20002et4","Kochi",NA,NA
